,Course Name,Entrance Requirements,Page URL,UUID
37,Mathematics and Statistics,A*A*A with the A*s in Maths and Further Maths if taken,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/mathematics-and-statistics,3bd872e4-c1e3-45f0-bbaa-cb69bd55351f
38,Medicine,"A*AA (excluding Critical Thinking, Thinking Skills and General Studies)",https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/medicine,74aae6bc-3f3a-4687-a512-1af74edf08cf
39,Medicine (graduate-entry/ accelerated),See Admissions Requirements,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/medicine-accelerated,64fbfd8e-06b5-40ab-97c9-78aaa06557ee
40,Modern Languages,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages,7f5cdc5c-2357-4049-bb7b-41fa67ef54e2
41,Modern Languages and Linguistics,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages-and-linguistics,6f4e5b22-79b4-4003-8668-7b909e67f949
42,Music,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/music,55bcdaf4-f8ba-4f29-8622-d24068683330
43,Oriental Studies,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/oriental-studies,6b27037e-5ff2-4661-ad73-72d5096c4f89
44,Philosophy and Modern Languages,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/philosophy-and-modern-languages,9d41793e-493c-4b05-9957-90a46cf4a925
45,"Philosophy, Politics and Economics",AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/philosophy-politics-and-economics,5473115a-52b9-48a6-bc68-77bcdcb1968c
46,Philosophy and Theology,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/philosophy-and-theology,dd6cda06-9709-4dfc-adad-4202ec8cfa70
47,Physics,"A*AA (with the A* in Physics, Maths or Further Maths)",https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/physics,597c54b5-724b-47cf-8f5a-127fb2fbd163
48,Physics and Philosophy,"A*AA (with the A* in Physics, Maths or Further Maths)",https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/physics-and-philosophy,a6185fe6-2c99-487b-95e0-144926ce7474
49,Psychology (Experimental),A*AA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/psychology-experimental,094b7ea9-a958-4320-a847-3752a4d8b387
50,"Psychology, Philosophy and Linguistics ",A*AA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/psychology-philosophy-and-linguistics,2815eb31-4acf-4a97-bf54-a3bf84e97fdd
51,Religion and Oriental Studies,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/religion-and-oriental-studies,b6014f05-51a7-452f-942e-e3a7e2d68b42
52,Theology and Religion,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/theology-and-religion,2aa34364-e1e0-480d-811f-d2ff39d711fa
